,year,month,series_id,series_desc,level,order,curr_weight
743,1999,2,CUUR0000SAF11,Food at home,2,2,9.727
744,1999,2,CUUR0000SAF111,Cereals and bakery products,3,3,1.551
745,1999,2,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.554
746,1999,2,CUUR0000SEFJ,Dairy and related products,3,5,1.116
747,1999,2,CUUR0000SAF113,Fruits and vegetables,3,6,1.432
748,1999,2,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.067
749,1999,2,CUUR0000SAF115,Other food at home,3,8,2.006
750,1999,2,CUUR0000SEFV,Food away from home,2,9,5.737
751,1999,2,CUUR0000SAF116,Alcoholic beverages,2,10,0.991
752,1999,2,CUUR0000SAH,Housing,1,11,39.929
753,1999,2,CUUR0000SAH1,Shelter,2,12,30.419
754,1999,2,CUUR0000SEHA,Rent of primary residence,3,13,7.009
755,1999,2,CUUR0000SEHB,Lodging away from home,3,14,2.52
756,1999,2,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.518
757,1999,2,CUUR0000SEHD,Tenants and household insurance,3,16,0.37
758,1999,2,CUUR0000SAH2,Fuels and utilities,2,17,4.695
759,1999,2,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.226
760,1999,2,CUUR0000SEHF,Energy services,3,19,3.534
761,1999,2,CUUR0000SEHG,Water and Sewer Services,3,20,0.935
762,1999,2,CUUR0000SAH3,Household furnishings and operations,2,21,4.796
763,1999,2,CUUR0000SAA,Apparel,1,22,4.777
764,1999,2,CUUR0000SAA1,Men's and boys' apparel,2,23,1.349
765,1999,2,CUUR0000SAA2,Women's and girls' apparel,2,24,1.904
766,1999,2,CUUR0000SEAE,Footwear,2,25,0.854
767,1999,2,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.264
768,1999,2,CUUR0000SEAG,Jewelry and watches,2,27,0.406
769,1999,2,CUUR0000SAT,Transportation,1,28,16.829
770,1999,2,CUUR0000SAT1,Private Transportation,2,29,15.448
771,1999,2,CUUR0000SETA,New and used motor vehicles,3,30,7.737
772,1999,2,CUUR0000SETB,Motor fuel,3,31,2.409
773,1999,2,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.545
774,1999,2,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.626
775,1999,2,CUUR0000SETE,Motor vehicle insurance,3,34,2.492
776,1999,2,CUUR0000SETF,Motor vehicle fees,3,35,0.64
777,1999,2,CUUR0000SETG,Public transportation,2,36,1.375
778,1999,2,CUUR0000SETG01,Airline fare,3,37,0.866
779,1999,2,CUUR0000SETG02,Other intercity transportation,3,38,0.182
780,1999,2,CUUR0000SETG03,Intracity transportation,3,39,0.321
781,1999,2,CUUR0000SAM,Medical care,1,40,5.75
782,1999,2,CUUR0000SAM1,Medical care commodities,2,41,1.254
783,1999,2,CUUR0000SAM2,Medical care services,2,42,4.498
784,1999,2,CUUR0000SAR,Recreation,1,43,6.134
785,1999,2,CUUR0000SERA,Video and audio,2,44,1.757
786,1999,2,CUUR0000SERB,"Pets, pet products and services",2,45,0.668
787,1999,2,CUUR0000SERC,Sporting goods,2,46,0.478
788,1999,2,CUUR0000SERD,Photography,2,47,0.259
789,1999,2,CUUR0000SERE,Other recreational goods,2,48,0.552
790,1999,2,CUUR0000SERF,Recreation services,2,49,1.822
791,1999,2,CUUR0000SERG,Recreational reading materials,2,50,0.599
792,1999,2,CUUR0000SAE,Education and communication,1,51,5.469
793,1999,2,CUUR0000SAE1,Education,2,52,2.7
794,1999,2,CUUR0000SAE2,Communication,2,53,2.767
795,1999,2,CUUR0000SAG,Other goods and services,1,54,4.694
796,1999,2,CUUR0000SEGA,Tobacco and smoking products,2,55,1.216
797,1999,2,CUUR0000SAG1,Personal care goods and services,2,56,3.476
798,1999,3,CUUR0000SA0,All items ,0,0,100.0
799,1999,3,CUUR0000SAF,Food and beverages,1,1,16.399
800,1999,3,CUUR0000SAF11,Food at home,2,2,9.674
801,1999,3,CUUR0000SAF111,Cereals and bakery products,3,3,1.544
802,1999,3,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.543
803,1999,3,CUUR0000SEFJ,Dairy and related products,3,5,1.107
804,1999,3,CUUR0000SAF113,Fruits and vegetables,3,6,1.425
805,1999,3,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.064
806,1999,3,CUUR0000SAF115,Other food at home,3,8,1.995
807,1999,3,CUUR0000SEFV,Food away from home,2,9,5.734
808,1999,3,CUUR0000SAF116,Alcoholic beverages,2,10,0.986
809,1999,3,CUUR0000SAH,Housing,1,11,39.93
810,1999,3,CUUR0000SAH1,Shelter,2,12,30.457
811,1999,3,CUUR0000SEHA,Rent of primary residence,3,13,7.004
812,1999,3,CUUR0000SEHB,Lodging away from home,3,14,2.603
813,1999,3,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.478
814,1999,3,CUUR0000SEHD,Tenants and household insurance,3,16,0.37
815,1999,3,CUUR0000SAH2,Fuels and utilities,2,17,4.677
816,1999,3,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.226
817,1999,3,CUUR0000SEHF,Energy services,3,19,3.52
818,1999,3,CUUR0000SEHG,Water and Sewer Services,3,20,0.934
819,1999,3,CUUR0000SAH3,Household furnishings and operations,2,21,4.782
820,1999,3,CUUR0000SAA,Apparel,1,22,4.872
821,1999,3,CUUR0000SAA1,Men's and boys' apparel,2,23,1.36
822,1999,3,CUUR0000SAA2,Women's and girls' apparel,2,24,1.987
823,1999,3,CUUR0000SEAE,Footwear,2,25,0.863
824,1999,3,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.262
825,1999,3,CUUR0000SEAG,Jewelry and watches,2,27,0.399
826,1999,3,CUUR0000SAT,Transportation,1,28,16.874
827,1999,3,CUUR0000SAT1,Private Transportation,2,29,15.458
828,1999,3,CUUR0000SETA,New and used motor vehicles,3,30,7.69
829,1999,3,CUUR0000SETB,Motor fuel,3,31,2.479
830,1999,3,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.539
831,1999,3,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.623
832,1999,3,CUUR0000SETE,Motor vehicle insurance,3,34,2.485
833,1999,3,CUUR0000SETF,Motor vehicle fees,3,35,0.638
834,1999,3,CUUR0000SETG,Public transportation,2,36,1.411
835,1999,3,CUUR0000SETG01,Airline fare,3,37,0.904
836,1999,3,CUUR0000SETG02,Other intercity transportation,3,38,0.181
837,1999,3,CUUR0000SETG03,Intracity transportation,3,39,0.32
838,1999,3,CUUR0000SAM,Medical care,1,40,5.747
839,1999,3,CUUR0000SAM1,Medical care commodities,2,41,1.255
840,1999,3,CUUR0000SAM2,Medical care services,2,42,4.493
841,1999,3,CUUR0000SAR,Recreation,1,43,6.115
842,1999,3,CUUR0000SERA,Video and audio,2,44,1.745
843,1999,3,CUUR0000SERB,"Pets, pet products and services",2,45,0.668
844,1999,3,CUUR0000SERC,Sporting goods,2,46,0.478
845,1999,3,CUUR0000SERD,Photography,2,47,0.258
846,1999,3,CUUR0000SERE,Other recreational goods,2,48,0.549
847,1999,3,CUUR0000SERF,Recreation services,2,49,1.82
848,1999,3,CUUR0000SERG,Recreational reading materials,2,50,0.596
849,1999,3,CUUR0000SAE,Education and communication,1,51,5.447
850,1999,3,CUUR0000SAE1,Education,2,52,2.694
851,1999,3,CUUR0000SAE2,Communication,2,53,2.75
852,1999,3,CUUR0000SAG,Other goods and services,1,54,4.648
853,1999,3,CUUR0000SEGA,Tobacco and smoking products,2,55,1.168
854,1999,3,CUUR0000SAG1,Personal care goods and services,2,56,3.479
855,1999,4,CUUR0000SA0,All items ,0,0,100.0
856,1999,4,CUUR0000SAF,Food and beverages,1,1,16.3
857,1999,4,CUUR0000SAF11,Food at home,2,2,9.61
858,1999,4,CUUR0000SAF111,Cereals and bakery products,3,3,1.544
859,1999,4,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.523
860,1999,4,CUUR0000SEFJ,Dairy and related products,3,5,1.063
861,1999,4,CUUR0000SAF113,Fruits and vegetables,3,6,1.438
862,1999,4,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.055
863,1999,4,CUUR0000SAF115,Other food at home,3,8,1.99
864,1999,4,CUUR0000SEFV,Food away from home,2,9,5.703
865,1999,4,CUUR0000SAF116,Alcoholic beverages,2,10,0.982
866,1999,4,CUUR0000SAH,Housing,1,11,39.691
867,1999,4,CUUR0000SAH1,Shelter,2,12,30.286
868,1999,4,CUUR0000SEHA,Rent of primary residence,3,13,6.969
869,1999,4,CUUR0000SEHB,Lodging away from home,3,14,2.587
870,1999,4,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.372
871,1999,4,CUUR0000SEHD,Tenants and household insurance,3,16,0.367
872,1999,4,CUUR0000SAH2,Fuels and utilities,2,17,4.636
873,1999,4,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.228
874,1999,4,CUUR0000SEHF,Energy services,3,19,3.483
875,1999,4,CUUR0000SEHG,Water and Sewer Services,3,20,0.929
876,1999,4,CUUR0000SAH3,Household furnishings and operations,2,21,4.766
877,1999,4,CUUR0000SAA,Apparel,1,22,4.928
878,1999,4,CUUR0000SAA1,Men's and boys' apparel,2,23,1.372
879,1999,4,CUUR0000SAA2,Women's and girls' apparel,2,24,2.011
880,1999,4,CUUR0000SEAE,Footwear,2,25,0.875
881,1999,4,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.265
882,1999,4,CUUR0000SEAG,Jewelry and watches,2,27,0.405
883,1999,4,CUUR0000SAT,Transportation,1,28,17.193
884,1999,4,CUUR0000SAT1,Private Transportation,2,29,15.763
885,1999,4,CUUR0000SETA,New and used motor vehicles,3,30,7.642
886,1999,4,CUUR0000SETB,Motor fuel,3,31,2.878
887,1999,4,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.537
888,1999,4,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.614
889,1999,4,CUUR0000SETE,Motor vehicle insurance,3,34,2.456
890,1999,4,CUUR0000SETF,Motor vehicle fees,3,35,0.635
891,1999,4,CUUR0000SETG,Public transportation,2,36,1.419
892,1999,4,CUUR0000SETG01,Airline fare,3,37,0.916
893,1999,4,CUUR0000SETG02,Other intercity transportation,3,38,0.18
894,1999,4,CUUR0000SETG03,Intracity transportation,3,39,0.318
895,1999,4,CUUR0000SAM,Medical care,1,40,5.724
896,1999,4,CUUR0000SAM1,Medical care commodities,2,41,1.255
897,1999,4,CUUR0000SAM2,Medical care services,2,42,4.468
898,1999,4,CUUR0000SAR,Recreation,1,43,6.083
899,1999,4,CUUR0000SERA,Video and audio,2,44,1.729
900,1999,4,CUUR0000SERB,"Pets, pet products and services",2,45,0.668
901,1999,4,CUUR0000SERC,Sporting goods,2,46,0.474
902,1999,4,CUUR0000SERD,Photography,2,47,0.256
903,1999,4,CUUR0000SERE,Other recreational goods,2,48,0.543
904,1999,4,CUUR0000SERF,Recreation services,2,49,1.822
905,1999,4,CUUR0000SERG,Recreational reading materials,2,50,0.593
906,1999,4,CUUR0000SAE,Education and communication,1,51,5.402
907,1999,4,CUUR0000SAE1,Education,2,52,2.677
908,1999,4,CUUR0000SAE2,Communication,2,53,2.722
909,1999,4,CUUR0000SAG,Other goods and services,1,54,4.666
910,1999,4,CUUR0000SEGA,Tobacco and smoking products,2,55,1.207
911,1999,4,CUUR0000SAG1,Personal care goods and services,2,56,3.458
912,1999,5,CUUR0000SA0,All items ,0,0,100.0
913,1999,5,CUUR0000SAF,Food and beverages,1,1,16.33
914,1999,5,CUUR0000SAF11,Food at home,2,2,9.633
915,1999,5,CUUR0000SAF111,Cereals and bakery products,3,3,1.546
916,1999,5,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.523
917,1999,5,CUUR0000SEFJ,Dairy and related products,3,5,1.063
918,1999,5,CUUR0000SAF113,Fruits and vegetables,3,6,1.466
919,1999,5,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.054
920,1999,5,CUUR0000SAF115,Other food at home,3,8,1.987
921,1999,5,CUUR0000SEFV,Food away from home,2,9,5.706
922,1999,5,CUUR0000SAF116,Alcoholic beverages,2,10,0.985
923,1999,5,CUUR0000SAH,Housing,1,11,39.691
924,1999,5,CUUR0000SAH1,Shelter,2,12,30.27
925,1999,5,CUUR0000SEHA,Rent of primary residence,3,13,6.981
926,1999,5,CUUR0000SEHB,Lodging away from home,3,14,2.524
927,1999,5,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.404
928,1999,5,CUUR0000SEHD,Tenants and household insurance,3,16,0.368
929,1999,5,CUUR0000SAH2,Fuels and utilities,2,17,4.666
930,1999,5,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.228
931,1999,5,CUUR0000SEHF,Energy services,3,19,3.51
932,1999,5,CUUR0000SEHG,Water and Sewer Services,3,20,0.93
933,1999,5,CUUR0000SAH3,Household furnishings and operations,2,21,4.747
934,1999,5,CUUR0000SAA,Apparel,1,22,4.892
935,1999,5,CUUR0000SAA1,Men's and boys' apparel,2,23,1.375
936,1999,5,CUUR0000SAA2,Women's and girls' apparel,2,24,1.989
937,1999,5,CUUR0000SEAE,Footwear,2,25,0.863
938,1999,5,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.264
939,1999,5,CUUR0000SEAG,Jewelry and watches,2,27,0.403
940,1999,5,CUUR0000SAT,Transportation,1,28,17.181
941,1999,5,CUUR0000SAT1,Private Transportation,2,29,15.774
942,1999,5,CUUR0000SETA,New and used motor vehicles,3,30,7.642
943,1999,5,CUUR0000SETB,Motor fuel,3,31,2.892
944,1999,5,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.536
945,1999,5,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.618
946,1999,5,CUUR0000SETE,Motor vehicle insurance,3,34,2.454
947,1999,5,CUUR0000SETF,Motor vehicle fees,3,35,0.634
948,1999,5,CUUR0000SETG,Public transportation,2,36,1.398
949,1999,5,CUUR0000SETG01,Airline fare,3,37,0.893
950,1999,5,CUUR0000SETG02,Other intercity transportation,3,38,0.181
951,1999,5,CUUR0000SETG03,Intracity transportation,3,39,0.318
952,1999,5,CUUR0000SAM,Medical care,1,40,5.733
953,1999,5,CUUR0000SAM1,Medical care commodities,2,41,1.255
954,1999,5,CUUR0000SAM2,Medical care services,2,42,4.477
955,1999,5,CUUR0000SAR,Recreation,1,43,6.095
956,1999,5,CUUR0000SERA,Video and audio,2,44,1.727
957,1999,5,CUUR0000SERB,"Pets, pet products and services",2,45,0.669
958,1999,5,CUUR0000SERC,Sporting goods,2,46,0.472
959,1999,5,CUUR0000SERD,Photography,2,47,0.256
960,1999,5,CUUR0000SERE,Other recreational goods,2,48,0.54
961,1999,5,CUUR0000SERF,Recreation services,2,49,1.834
962,1999,5,CUUR0000SERG,Recreational reading materials,2,50,0.596
963,1999,5,CUUR0000SAE,Education and communication,1,51,5.386
964,1999,5,CUUR0000SAE1,Education,2,52,2.68
965,1999,5,CUUR0000SAE2,Communication,2,53,2.705
966,1999,5,CUUR0000SAG,Other goods and services,1,54,4.66
967,1999,5,CUUR0000SEGA,Tobacco and smoking products,2,55,1.192
968,1999,5,CUUR0000SAG1,Personal care goods and services,2,56,3.469
969,1999,6,CUUR0000SA0,All items ,0,0,100.0
970,1999,6,CUUR0000SAF,Food and beverages,1,1,16.32
971,1999,6,CUUR0000SAF11,Food at home,2,2,9.622
972,1999,6,CUUR0000SAF111,Cereals and bakery products,3,3,1.551
973,1999,6,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.532
974,1999,6,CUUR0000SEFJ,Dairy and related products,3,5,1.063
975,1999,6,CUUR0000SAF113,Fruits and vegetables,3,6,1.438
976,1999,6,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.055
977,1999,6,CUUR0000SAF115,Other food at home,3,8,1.99
978,1999,6,CUUR0000SEFV,Food away from home,2,9,5.706
979,1999,6,CUUR0000SAF116,Alcoholic beverages,2,10,0.986
980,1999,6,CUUR0000SAH,Housing,1,11,39.959
981,1999,6,CUUR0000SAH1,Shelter,2,12,30.383
982,1999,6,CUUR0000SEHA,Rent of primary residence,3,13,6.997
983,1999,6,CUUR0000SEHB,Lodging away from home,3,14,2.569
984,1999,6,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.447
985,1999,6,CUUR0000SEHD,Tenants and household insurance,3,16,0.374
986,1999,6,CUUR0000SAH2,Fuels and utilities,2,17,4.802
987,1999,6,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.227
988,1999,6,CUUR0000SEHF,Energy services,3,19,3.646
989,1999,6,CUUR0000SEHG,Water and Sewer Services,3,20,0.931
990,1999,6,CUUR0000SAH3,Household furnishings and operations,2,21,4.751
991,1999,6,CUUR0000SAA,Apparel,1,22,4.771
992,1999,6,CUUR0000SAA1,Men's and boys' apparel,2,23,1.351
993,1999,6,CUUR0000SAA2,Women's and girls' apparel,2,24,1.915
994,1999,6,CUUR0000SEAE,Footwear,2,25,0.85
995,1999,6,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.262
996,1999,6,CUUR0000SEAG,Jewelry and watches,2,27,0.393
997,1999,6,CUUR0000SAT,Transportation,1,28,17.085
998,1999,6,CUUR0000SAT1,Private Transportation,2,29,15.718
999,1999,6,CUUR0000SETA,New and used motor vehicles,3,30,7.642
1000,1999,6,CUUR0000SETB,Motor fuel,3,31,2.829
1001,1999,6,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.536
1002,1999,6,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.621
1003,1999,6,CUUR0000SETE,Motor vehicle insurance,3,34,2.452
1004,1999,6,CUUR0000SETF,Motor vehicle fees,3,35,0.635
1005,1999,6,CUUR0000SETG,Public transportation,2,36,1.357
1006,1999,6,CUUR0000SETG01,Airline fare,3,37,0.85
1007,1999,6,CUUR0000SETG02,Other intercity transportation,3,38,0.183
1008,1999,6,CUUR0000SETG03,Intracity transportation,3,39,0.319
1009,1999,6,CUUR0000SAM,Medical care,1,40,5.749
1010,1999,6,CUUR0000SAM1,Medical care commodities,2,41,1.261
1011,1999,6,CUUR0000SAM2,Medical care services,2,42,4.487
1012,1999,6,CUUR0000SAR,Recreation,1,43,6.095
1013,1999,6,CUUR0000SERA,Video and audio,2,44,1.724
1014,1999,6,CUUR0000SERB,"Pets, pet products and services",2,45,0.669
1015,1999,6,CUUR0000SERC,Sporting goods,2,46,0.469
1016,1999,6,CUUR0000SERD,Photography,2,47,0.256
1017,1999,6,CUUR0000SERE,Other recreational goods,2,48,0.542
1018,1999,6,CUUR0000SERF,Recreation services,2,49,1.845
1019,1999,6,CUUR0000SERG,Recreational reading materials,2,50,0.593
1020,1999,6,CUUR0000SAE,Education and communication,1,51,5.381
1021,1999,6,CUUR0000SAE1,Education,2,52,2.682
1022,1999,6,CUUR0000SAE2,Communication,2,53,2.699
1023,1999,6,CUUR0000SAG,Other goods and services,1,54,4.662
1024,1999,6,CUUR0000SEGA,Tobacco and smoking products,2,55,1.184
1025,1999,6,CUUR0000SAG1,Personal care goods and services,2,56,3.477
1026,1999,7,CUUR0000SA0,All items ,0,0,100.0
1027,1999,7,CUUR0000SAF,Food and beverages,1,1,16.281
1028,1999,7,CUUR0000SAF11,Food at home,2,2,9.593
1029,1999,7,CUUR0000SAF111,Cereals and bakery products,3,3,1.551
1030,1999,7,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.526
1031,1999,7,CUUR0000SEFJ,Dairy and related products,3,5,1.057
1032,1999,7,CUUR0000SAF113,Fruits and vegetables,3,6,1.425
1033,1999,7,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.052
1034,1999,7,CUUR0000SAF115,Other food at home,3,8,1.985
1035,1999,7,CUUR0000SEFV,Food away from home,2,9,5.706
1036,1999,7,CUUR0000SAF116,Alcoholic beverages,2,10,0.985
1037,1999,7,CUUR0000SAH,Housing,1,11,39.984
1038,1999,7,CUUR0000SAH1,Shelter,2,12,30.422
1039,1999,7,CUUR0000SEHA,Rent of primary residence,3,13,6.992
1040,1999,7,CUUR0000SEHB,Lodging away from home,3,14,2.635
1041,1999,7,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.428
1042,1999,7,CUUR0000SEHD,Tenants and household insurance,3,16,0.373
1043,1999,7,CUUR0000SAH2,Fuels and utilities,2,17,4.821
1044,1999,7,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.227
1045,1999,7,CUUR0000SEHF,Energy services,3,19,3.665
1046,1999,7,CUUR0000SEHG,Water and Sewer Services,3,20,0.931
1047,1999,7,CUUR0000SAH3,Household furnishings and operations,2,21,4.737
1048,1999,7,CUUR0000SAA,Apparel,1,22,4.626
1049,1999,7,CUUR0000SAA1,Men's and boys' apparel,2,23,1.315
1050,1999,7,CUUR0000SAA2,Women's and girls' apparel,2,24,1.808
1051,1999,7,CUUR0000SEAE,Footwear,2,25,0.846
1052,1999,7,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.263
1053,1999,7,CUUR0000SEAG,Jewelry and watches,2,27,0.395
1054,1999,7,CUUR0000SAT,Transportation,1,28,17.189
1055,1999,7,CUUR0000SAT1,Private Transportation,2,29,15.771
1056,1999,7,CUUR0000SETA,New and used motor vehicles,3,30,7.627
1057,1999,7,CUUR0000SETB,Motor fuel,3,31,2.915
1058,1999,7,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.533
1059,1999,7,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.62
1060,1999,7,CUUR0000SETE,Motor vehicle insurance,3,34,2.445
1061,1999,7,CUUR0000SETF,Motor vehicle fees,3,35,0.635
1062,1999,7,CUUR0000SETG,Public transportation,2,36,1.41
1063,1999,7,CUUR0000SETG01,Airline fare,3,37,0.903
1064,1999,7,CUUR0000SETG02,Other intercity transportation,3,38,0.185
1065,1999,7,CUUR0000SETG03,Intracity transportation,3,39,0.318
1066,1999,7,CUUR0000SAM,Medical care,1,40,5.752
1067,1999,7,CUUR0000SAM1,Medical care commodities,2,41,1.264
1068,1999,7,CUUR0000SAM2,Medical care services,2,42,4.49
1069,1999,7,CUUR0000SAR,Recreation,1,43,6.077
1070,1999,7,CUUR0000SERA,Video and audio,2,44,1.717
1071,1999,7,CUUR0000SERB,"Pets, pet products and services",2,45,0.666
1072,1999,7,CUUR0000SERC,Sporting goods,2,46,0.469
1073,1999,7,CUUR0000SERD,Photography,2,47,0.256
1074,1999,7,CUUR0000SERE,Other recreational goods,2,48,0.537
1075,1999,7,CUUR0000SERF,Recreation services,2,49,1.841
1076,1999,7,CUUR0000SERG,Recreational reading materials,2,50,0.589
1077,1999,7,CUUR0000SAE,Education and communication,1,51,5.37
1078,1999,7,CUUR0000SAE1,Education,2,52,2.682
1079,1999,7,CUUR0000SAE2,Communication,2,53,2.691
1080,1999,7,CUUR0000SAG,Other goods and services,1,54,4.692
1081,1999,7,CUUR0000SEGA,Tobacco and smoking products,2,55,1.225
1082,1999,7,CUUR0000SAG1,Personal care goods and services,2,56,3.467
1083,1999,8,CUUR0000SA0,All items ,0,0,100.0
1084,1999,8,CUUR0000SAF,Food and beverages,1,1,16.292
1085,1999,8,CUUR0000SAF11,Food at home,2,2,9.593
1086,1999,8,CUUR0000SAF111,Cereals and bakery products,3,3,1.536
1087,1999,8,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.54
1088,1999,8,CUUR0000SEFJ,Dairy and related products,3,5,1.06
1089,1999,8,CUUR0000SAF113,Fruits and vegetables,3,6,1.422
