,year,month,series_id,series_desc,level,order,value
913,1999,5,CUUR0000SAF,Food and beverages,1,1,164.2
914,1999,5,CUUR0000SAF11,Food at home,2,2,163.9
915,1999,5,CUUR0000SAF111,Cereals and bakery products,3,3,185.1
916,1999,5,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,146.7
917,1999,5,CUUR0000SEFJ,Dairy and related products,3,5,156.2
918,1999,5,CUUR0000SAF113,Fruits and vegetables,3,6,207.2
919,1999,5,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.2
920,1999,5,CUUR0000SAF115,Other food at home,3,8,153.4
921,1999,5,CUUR0000SEFV,Food away from home,2,9,164.6
922,1999,5,CUUR0000SAF116,Alcoholic beverages,2,10,169.3
923,1999,5,CUUR0000SAH,Housing,1,11,163.0
924,1999,5,CUUR0000SAH1,Shelter,2,12,186.5
925,1999,5,CUUR0000SEHA,Rent of primary residence,3,13,176.7
926,1999,5,CUUR0000SEHB,Lodging away from home,3,14,111.8
927,1999,5,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,192.2
928,1999,5,CUUR0000SEHD,Tenants and household insurance,3,16,100.5
929,1999,5,CUUR0000SAH2,Fuels and utilities,2,17,126.5
930,1999,5,CUUR0000SEHE,Fuel oil and other fuels,3,18,87.7
931,1999,5,CUUR0000SEHF,Energy services,3,19,118.4
932,1999,5,CUUR0000SEHG,Water and Sewer Services,3,20,103.7
933,1999,5,CUUR0000SAH3,Household furnishings and operations,2,21,126.7
934,1999,5,CUUR0000SAA,Apparel,1,22,134.2
935,1999,5,CUUR0000SAA1,Men's and boys' apparel,2,23,133.8
936,1999,5,CUUR0000SAA2,Women's and girls' apparel,2,24,127.3
937,1999,5,CUUR0000SEAE,Footwear,2,25,127.4
938,1999,5,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,127.6
939,1999,5,CUUR0000SEAG,Jewelry and watches,2,27,143.6
940,1999,5,CUUR0000SAT,Transportation,1,28,144.2
941,1999,5,CUUR0000SAT1,Private Transportation,2,29,140.2
942,1999,5,CUUR0000SETA,New and used motor vehicles,3,30,99.7
943,1999,5,CUUR0000SETB,Motor fuel,3,31,101.4
944,1999,5,CUUR0000SETC,Motor vehicle parts and equipment,3,32,100.2
945,1999,5,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,171.3
946,1999,5,CUUR0000SETE,Motor vehicle insurance,3,34,253.1
947,1999,5,CUUR0000SETF,Motor vehicle fees,3,35,103.2
948,1999,5,CUUR0000SETG,Public transportation,2,36,198.4
949,1999,5,CUUR0000SETG01,Airline fare,3,37,220.2
950,1999,5,CUUR0000SETG02,Other intercity transportation,3,38,160.0
951,1999,5,CUUR0000SETG03,Intracity transportation,3,39,172.4
952,1999,5,CUUR0000SAM,Medical care,1,40,249.5
953,1999,5,CUUR0000SAM1,Medical care commodities,2,41,229.4
954,1999,5,CUUR0000SAM2,Medical care services,2,42,254.0
955,1999,5,CUUR0000SAR,Recreation,1,43,102.2
956,1999,5,CUUR0000SERA,Video and audio,2,44,100.9
957,1999,5,CUUR0000SERB,"Pets, pet products and services",2,45,103.8
958,1999,5,CUUR0000SERC,Sporting goods,2,46,121.0
959,1999,5,CUUR0000SERD,Photography,2,47,99.5
960,1999,5,CUUR0000SERE,Other recreational goods,2,48,93.2
961,1999,5,CUUR0000SERF,Recreation services,2,49,106.8
962,1999,5,CUUR0000SERG,Recreational reading materials,2,50,186.8
963,1999,5,CUUR0000SAE,Education and communication,1,51,100.4
964,1999,5,CUUR0000SAE1,Education,2,52,105.6
965,1999,5,CUUR0000SAE2,Communication,2,53,95.7
966,1999,5,CUUR0000SAG,Other goods and services,1,54,255.8
967,1999,5,CUUR0000SEGA,Tobacco and smoking products,2,55,345.5
968,1999,5,CUUR0000SAG1,Personal care goods and services,2,56,160.7
969,1999,6,CUUR0000SA0,All items ,0,0,166.2
970,1999,6,CUUR0000SAF,Food and beverages,1,1,164.1
971,1999,6,CUUR0000SAF11,Food at home,2,2,163.7
972,1999,6,CUUR0000SAF111,Cereals and bakery products,3,3,185.7
973,1999,6,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,147.2
974,1999,6,CUUR0000SEFJ,Dairy and related products,3,5,156.1
975,1999,6,CUUR0000SAF113,Fruits and vegetables,3,6,203.2
976,1999,6,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.3
977,1999,6,CUUR0000SAF115,Other food at home,3,8,153.6
978,1999,6,CUUR0000SEFV,Food away from home,2,9,164.6
979,1999,6,CUUR0000SAF116,Alcoholic beverages,2,10,169.5
980,1999,6,CUUR0000SAH,Housing,1,11,164.1
981,1999,6,CUUR0000SAH1,Shelter,2,12,187.2
982,1999,6,CUUR0000SEHA,Rent of primary residence,3,13,177.1
983,1999,6,CUUR0000SEHB,Lodging away from home,3,14,113.8
984,1999,6,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,192.6
985,1999,6,CUUR0000SEHD,Tenants and household insurance,3,16,102.2
986,1999,6,CUUR0000SAH2,Fuels and utilities,2,17,130.2
987,1999,6,CUUR0000SEHE,Fuel oil and other fuels,3,18,87.3
988,1999,6,CUUR0000SEHF,Energy services,3,19,123.0
989,1999,6,CUUR0000SEHG,Water and Sewer Services,3,20,103.8
990,1999,6,CUUR0000SAH3,Household furnishings and operations,2,21,126.8
991,1999,6,CUUR0000SAA,Apparel,1,22,130.9
992,1999,6,CUUR0000SAA1,Men's and boys' apparel,2,23,131.4
993,1999,6,CUUR0000SAA2,Women's and girls' apparel,2,24,122.6
994,1999,6,CUUR0000SEAE,Footwear,2,25,125.4
995,1999,6,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,126.8
996,1999,6,CUUR0000SEAG,Jewelry and watches,2,27,140.0
997,1999,6,CUUR0000SAT,Transportation,1,28,143.4
998,1999,6,CUUR0000SAT1,Private Transportation,2,29,139.7
999,1999,6,CUUR0000SETA,New and used motor vehicles,3,30,99.7
1000,1999,6,CUUR0000SETB,Motor fuel,3,31,99.2
1001,1999,6,CUUR0000SETC,Motor vehicle parts and equipment,3,32,100.1
1002,1999,6,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,171.7
1003,1999,6,CUUR0000SETE,Motor vehicle insurance,3,34,252.9
1004,1999,6,CUUR0000SETF,Motor vehicle fees,3,35,103.4
1005,1999,6,CUUR0000SETG,Public transportation,2,36,192.6
1006,1999,6,CUUR0000SETG01,Airline fare,3,37,209.7
1007,1999,6,CUUR0000SETG02,Other intercity transportation,3,38,161.2
1008,1999,6,CUUR0000SETG03,Intracity transportation,3,39,172.6
1009,1999,6,CUUR0000SAM,Medical care,1,40,250.2
1010,1999,6,CUUR0000SAM1,Medical care commodities,2,41,230.5
1011,1999,6,CUUR0000SAM2,Medical care services,2,42,254.6
1012,1999,6,CUUR0000SAR,Recreation,1,43,102.2
1013,1999,6,CUUR0000SERA,Video and audio,2,44,100.7
1014,1999,6,CUUR0000SERB,"Pets, pet products and services",2,45,103.8
1015,1999,6,CUUR0000SERC,Sporting goods,2,46,120.1
1016,1999,6,CUUR0000SERD,Photography,2,47,99.4
1017,1999,6,CUUR0000SERE,Other recreational goods,2,48,93.5
1018,1999,6,CUUR0000SERF,Recreation services,2,49,107.4
1019,1999,6,CUUR0000SERG,Recreational reading materials,2,50,185.8
1020,1999,6,CUUR0000SAE,Education and communication,1,51,100.3
1021,1999,6,CUUR0000SAE1,Education,2,52,105.7
1022,1999,6,CUUR0000SAE2,Communication,2,53,95.5
1023,1999,6,CUUR0000SAG,Other goods and services,1,54,255.9
1024,1999,6,CUUR0000SEGA,Tobacco and smoking products,2,55,343.2
1025,1999,6,CUUR0000SAG1,Personal care goods and services,2,56,161.1
1026,1999,7,CUUR0000SA0,All items ,0,0,166.7
1027,1999,7,CUUR0000SAF,Food and beverages,1,1,164.2
1028,1999,7,CUUR0000SAF11,Food at home,2,2,163.7
1029,1999,7,CUUR0000SAF111,Cereals and bakery products,3,3,186.3
1030,1999,7,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,147.3
1031,1999,7,CUUR0000SEFJ,Dairy and related products,3,5,155.7
1032,1999,7,CUUR0000SAF113,Fruits and vegetables,3,6,202.0
1033,1999,7,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.3
1034,1999,7,CUUR0000SAF115,Other food at home,3,8,153.7
1035,1999,7,CUUR0000SEFV,Food away from home,2,9,165.1
1036,1999,7,CUUR0000SAF116,Alcoholic beverages,2,10,169.9
1037,1999,7,CUUR0000SAH,Housing,1,11,164.7
1038,1999,7,CUUR0000SAH1,Shelter,2,12,188.0
1039,1999,7,CUUR0000SEHA,Rent of primary residence,3,13,177.5
1040,1999,7,CUUR0000SEHB,Lodging away from home,3,14,117.1
1041,1999,7,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,193.0
1042,1999,7,CUUR0000SEHD,Tenants and household insurance,3,16,102.1
1043,1999,7,CUUR0000SAH2,Fuels and utilities,2,17,131.1
1044,1999,7,CUUR0000SEHE,Fuel oil and other fuels,3,18,87.5
1045,1999,7,CUUR0000SEHF,Energy services,3,19,124.0
1046,1999,7,CUUR0000SEHG,Water and Sewer Services,3,20,104.1
1047,1999,7,CUUR0000SAH3,Household furnishings and operations,2,21,126.8
1048,1999,7,CUUR0000SAA,Apparel,1,22,127.3
1049,1999,7,CUUR0000SAA1,Men's and boys' apparel,2,23,128.3
1050,1999,7,CUUR0000SAA2,Women's and girls' apparel,2,24,116.1
1051,1999,7,CUUR0000SEAE,Footwear,2,25,125.2
1052,1999,7,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,127.4
1053,1999,7,CUUR0000SEAG,Jewelry and watches,2,27,141.2
1054,1999,7,CUUR0000SAT,Transportation,1,28,144.7
1055,1999,7,CUUR0000SAT1,Private Transportation,2,29,140.6
1056,1999,7,CUUR0000SETA,New and used motor vehicles,3,30,99.8
1057,1999,7,CUUR0000SETB,Motor fuel,3,31,102.5
1058,1999,7,CUUR0000SETC,Motor vehicle parts and equipment,3,32,100.0
1059,1999,7,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,172.1
1060,1999,7,CUUR0000SETE,Motor vehicle insurance,3,34,252.9
1061,1999,7,CUUR0000SETF,Motor vehicle fees,3,35,103.7
1062,1999,7,CUUR0000SETG,Public transportation,2,36,200.8
1063,1999,7,CUUR0000SETG01,Airline fare,3,37,223.3
1064,1999,7,CUUR0000SETG02,Other intercity transportation,3,38,163.6
1065,1999,7,CUUR0000SETG03,Intracity transportation,3,39,172.6
1066,1999,7,CUUR0000SAM,Medical care,1,40,251.1
1067,1999,7,CUUR0000SAM1,Medical care commodities,2,41,231.7
1068,1999,7,CUUR0000SAM2,Medical care services,2,42,255.5
1069,1999,7,CUUR0000SAR,Recreation,1,43,102.2
1070,1999,7,CUUR0000SERA,Video and audio,2,44,100.6
1071,1999,7,CUUR0000SERB,"Pets, pet products and services",2,45,103.6
1072,1999,7,CUUR0000SERC,Sporting goods,2,46,120.6
1073,1999,7,CUUR0000SERD,Photography,2,47,99.8
1074,1999,7,CUUR0000SERE,Other recreational goods,2,48,93.0
1075,1999,7,CUUR0000SERF,Recreation services,2,49,107.5
1076,1999,7,CUUR0000SERG,Recreational reading materials,2,50,185.1
1077,1999,7,CUUR0000SAE,Education and communication,1,51,100.4
1078,1999,7,CUUR0000SAE1,Education,2,52,106.0
1079,1999,7,CUUR0000SAE2,Communication,2,53,95.5
1080,1999,7,CUUR0000SAG,Other goods and services,1,54,258.3
1081,1999,7,CUUR0000SEGA,Tobacco and smoking products,2,55,356.0
1082,1999,7,CUUR0000SAG1,Personal care goods and services,2,56,161.1
1083,1999,8,CUUR0000SA0,All items ,0,0,167.1
1084,1999,8,CUUR0000SAF,Food and beverages,1,1,164.7
1085,1999,8,CUUR0000SAF11,Food at home,2,2,164.1
1086,1999,8,CUUR0000SAF111,Cereals and bakery products,3,3,184.9
1087,1999,8,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,148.5
1088,1999,8,CUUR0000SEFJ,Dairy and related products,3,5,156.5
1089,1999,8,CUUR0000SAF113,Fruits and vegetables,3,6,202.1
1090,1999,8,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.5
